2022-05-27T20:07:43.123Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T20:07:45.704Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653681850.9074583","key":"LastConnectedTimeStamp"}
2022-05-27T20:07:45.847Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T20:07:46.110Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T20:07:50.262Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T20:07:50.264Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653682070.262362"}
2022-05-27T21:14:16.159Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T21:14:16.159Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/eGxxeT5oay2KNOvK9DhEA7WbHBwUIs-MBSf6NArU6yZ8WhOl0unyhnWCDNtZVVn0V-hZc1MpnUCENM4Dl0cYBg==","method":"GET"}
2022-05-27T21:14:16.160Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-27T21:14:16.161Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T21:14:16.380Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T21:14:16.475Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T21:14:16.480Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-27T21:14:16.487Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T21:14:16.491Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T21:14:16.492Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-28 19:02:53 +0000) | 
2022-05-27T21:14:16.969Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T21:14:17.034Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T21:14:17.280Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/eGxxeT5oay2KNOvK9DhEA7WbHBwUIs-MBSf6NArU6yZ8WhOl0unyhnWCDNtZVVn0V-hZc1MpnUCENM4Dl0cYBg==","method":"GET"}
2022-05-27T21:14:17.337Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T21:14:18.482Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-27T21:14:20.515Z | DEBUG | APP | Server list saved (count: 1738) | 
2022-05-27T21:14:25.691Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T21:14:25.692Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653686065.690713"}
2022-05-27T21:14:40.459Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T21:14:40.462Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-27T21:14:40.470Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T21:14:40.474Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
