2022-05-27T22:15:22.626Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Not checking features right after connecting | 
2022-05-27T22:15:23.165Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/J8XOGm20EYuwmfUIqgNEfJ6s2SgFLsC-ZXJp5GepciNePAYfaF_V7RnLNkf_lEgpI6xzEvhBdWW3ccb5lcIDWg==","method":"GET"}
2022-05-27T22:15:23.334Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T22:15:23.916Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-27T22:15:23.932Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T22:15:23.942Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T22:15:25.953Z | DEBUG | APP | Server list saved (count: 1738) | 
2022-05-27T22:15:28.997Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T22:15:28.998Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653689728.996568","key":"LastTimeForeground"}
2022-05-27T22:15:51.416Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T22:15:51.714Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T22:15:51.715Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-27T22:15:51.723Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T22:15:51.726Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T22:15:51.728Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-28 21:53:01 +0000) | 
2022-05-27T22:15:52.373Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T22:15:59.195Z | DEBUG | UI | Alert shown: ChangeProtocolDisconnectAlert | 
2022-05-27T22:16:02.104Z | DEBUG | CONN.DISCONNECT:TRIGGER | Disconnect requested after changing protocol | 
2022-05-27T22:16:02.105Z | INFO  | CONN.DISCONNECT | VPN disconnect started | 
2022-05-27T22:16:02.107Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"true","key":"IntentionallyDisconnected"}
2022-05-27T22:16:02.107Z | INFO  | CONN.DISCONNECT | Closing VPN tunnel | 
2022-05-27T22:16:02.108Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: closing | 
2022-05-27T22:16:02.108Z | INFO  | LOCAL_AGENT:STATE_CHANGE | Local agent shared library state reported as changed to Disconnected | 
2022-05-27T22:16:02.108Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Local agent state changed to disconnected | 
2022-05-27T22:16:02.108Z | DEBUG |  | Not checking features in disconnected state | 
2022-05-27T22:16:02.157Z | INFO  | CONN.CONNECT | On Demand set: Off for vpncore.WireguardProtocolFactory | 
2022-05-27T22:16:02.728Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Disconnecting from: 185.159.157.89 | 
2022-05-27T22:16:02.728Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-27T22:16:02.729Z | DEBUG | API | Re-enabling DoH while disconnected from VPN | 
2022-05-27T22:16:03.606Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Disconnected | 
2022-05-27T22:16:03.606Z | DEBUG | LOCAL_AGENT | Disconnecting Local agent | 
2022-05-27T22:16:03.607Z | DEBUG | REVIEW | Resetting active connection timestamp because of disconnection | 
2022-05-27T22:16:04.030Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"false","key":"smartProtocol"}
2022-05-27T22:16:13.395Z | DEBUG | CONN.CONNECT:TRIGGER | Connect requested by clicking on Server item | 
