2022-05-26T17:50:48.600Z | INFO  | CONN.CONNECT | Creating connection configuration | 
2022-05-26T17:50:48.614Z | INFO  | CONN.CONNECT | Configuring connection | 
2022-05-26T17:50:51.235Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-26T17:50:51.236Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653587451.235268"}
2022-05-26T17:51:03.956Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Invalid | 
2022-05-26T17:51:03.963Z | INFO  | CONN.CONNECT | Loading connection configuration | 
2022-05-26T17:51:03.964Z | INFO  | CONN.CONNECT | Starting VPN tunnel | 
2022-05-26T17:51:03.977Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connecting to: 185.159.158.139 | 
2022-05-26T17:51:04.423Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-26T17:51:04.434Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T17:51:04.439Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T17:51:04.440Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-27 17:50:20 +0000) | 
2022-05-26T17:51:07.720Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
